pair,gene,gene_name,log2fc,cav_r
neutrophil__breast__normal_vs_breast_cancer,ENSG00000177105,RHOG,0.6194209023922875,0.2471296139475675
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204592,HLA-E,-0.6180963037479323,-0.0308923232999605
neutrophil__breast__normal_vs_breast_cancer,ENSG00000117450,PRDX1,0.6165942065878489,0.294222220143046
neutrophil__breast__normal_vs_breast_cancer,ENSG00000100280,AP1B1,0.615614597328683,0.4328807672730643
neutrophil__breast__normal_vs_breast_cancer,ENSG00000167815,PRDX2,-0.6155634047177827,-0.0686879160447
neutrophil__breast__normal_vs_breast_cancer,ENSG00000131981,LGALS3,0.6134708986837087,0.2417459369443485
neutrophil__breast__normal_vs_breast_cancer,ENSG00000156508,EEF1A1,-0.6114655762790102,0.0903418885739562
neutrophil__breast__normal_vs_breast_cancer,ENSG00000173391,OLR1,0.6109331108400934,0.3855701421594624
neutrophil__breast__normal_vs_breast_cancer,ENSG00000136156,ITM2B,0.6109208725936752,0.2630557487992669
neutrophil__breast__normal_vs_breast_cancer,ENSG00000101294,HM13,0.605745333704759,0.3212744170843377
neutrophil__breast__normal_vs_breast_cancer,ENSG00000069849,ATP1B3,0.6053985556146941,0.3239780505597985
neutrophil__breast__normal_vs_breast_cancer,ENSG00000112149,CD83,0.6052933498419444,0.3448519051074378
neutrophil__breast__normal_vs_breast_cancer,ENSG00000120727,PAIP2,0.603259772381244,0.0987108075198801
neutrophil__breast__normal_vs_breast_cancer,ENSG00000049860,HEXB,0.6020190851799413,0.3555404009773406
neutrophil__breast__normal_vs_breast_cancer,ENSG00000137491,SLCO2B1,0.5981510853491154,0.4876163598972337
neutrophil__breast__normal_vs_breast_cancer,ENSG00000163563,MNDA,0.5953669580931855,0.2862384202397363
neutrophil__breast__normal_vs_breast_cancer,ENSG00000147443,DOK2,0.5951025854601426,0.0808445602172244
neutrophil__breast__normal_vs_breast_cancer,ENSG00000233927,RPS28,-0.5926906099216557,-0.1682836247530939
neutrophil__breast__normal_vs_breast_cancer,ENSG00000198786,MT-ND5,0.5901859599011542,0.1881910286296524
neutrophil__breast__normal_vs_breast_cancer,ENSG00000147872,PLIN2,0.5892244868303398,0.2113341821637744
neutrophil__breast__normal_vs_breast_cancer,ENSG00000092841,MYL6,-0.5871689768664983,0.1149322049580221
neutrophil__breast__normal_vs_breast_cancer,ENSG00000131446,MGAT1,0.5844410498181694,0.3025593290254563
neutrophil__breast__normal_vs_breast_cancer,ENSG00000136819,C9orf78,-0.5839082238998164,-0.0221599265793182
neutrophil__breast__normal_vs_breast_cancer,ENSG00000081320,STK17B,-0.5831385120443217,0.0106204854295547
neutrophil__breast__normal_vs_breast_cancer,ENSG00000174021,GNG5,0.5804630034394695,0.2681752021378172
neutrophil__breast__normal_vs_breast_cancer,ENSG00000187474,FPR3,0.5797043817893943,0.4170028119114787
neutrophil__breast__normal_vs_breast_cancer,ENSG00000221983,UBA52,0.5796835998753885,0.1014539009681579
neutrophil__breast__normal_vs_breast_cancer,ENSG00000048740,CELF2,-0.5788805040825475,-0.0018023572489491
neutrophil__breast__normal_vs_breast_cancer,ENSG00000182220,ATP6AP2,0.5784690753657712,0.1793769253479382
neutrophil__breast__normal_vs_breast_cancer,ENSG00000004799,PDK4,0.5773349216197051,0.3830250581151914
neutrophil__breast__normal_vs_breast_cancer,ENSG00000136888,ATP6V1G1,-0.5766893568327714,0.0043925971058469
neutrophil__breast__normal_vs_breast_cancer,ENSG00000063177,RPL18,-0.5762998748333304,-0.0417105172550008
neutrophil__breast__normal_vs_breast_cancer,ENSG00000239713,APOBEC3G,-0.574312334053227,-0.0147942957302268
neutrophil__breast__normal_vs_breast_cancer,ENSG00000111144,LTA4H,0.5733976060889161,0.2790074989424727
neutrophil__breast__normal_vs_breast_cancer,ENSG00000010810,FYN,-0.5725676980786474,-0.2241025341282138
neutrophil__breast__normal_vs_breast_cancer,ENSG00000005020,SKAP2,0.5717028839236811,0.3686415741361774
neutrophil__breast__normal_vs_breast_cancer,ENSG00000122566,HNRNPA2B1,0.5707526008206625,0.1767606006775885
neutrophil__breast__normal_vs_breast_cancer,ENSG00000127022,CANX,0.5691763250537736,0.3442510356724475
neutrophil__breast__normal_vs_breast_cancer,ENSG00000144713,RPL32,-0.5679742001787068,0.003007664287276
